census_id,country,year,census_label,geolev2,single_m20s,wh_ratio,poly_men,poly_women,avg_educ,log_popdens,sex_ratio
364_2006,364,2006,Iran 2006,364008004,0.58297292374645,0.944106414846556,0.00100995091612609,0.000464516767151698,,3.15529680418015,1.04221052178247
364_2006,364,2006,Iran 2006,364008015,0.673112442419673,0.944652449343945,0.0013653340399213,0.00168881491260578,,2.78315767828908,1.09569499219013
364_2006,364,2006,Iran 2006,364008005,0.606670698816893,0.981653712287007,0.00202241533198071,0.00271004410640586,,4.5239600974606,1.01358265101727
364_2006,364,2006,Iran 2006,364008006,0.589634314791811,0.979514161790819,0.00452081539977794,0.00428421775480031,,2.09924415027504,0.966739999596333
364_2006,364,2006,Iran 2006,364008007,0.634734402328796,0.960364875608475,0.00699949322832156,0.00693617412689653,,1.80335863335806,1.02433295417715
364_2006,364,2006,Iran 2006,364008016,0.556129771381715,0.982064115278366,0.00661866623363819,0.00651760106612284,,2.40514167445993,0.946763710269381
364_2006,364,2006,Iran 2006,364008008,0.644466714512014,0.995023535259408,0.00416225815719899,0.00404598126612994,,0.336472219621213,1.0203630849615
364_2006,364,2006,Iran 2006,364008009,0.571267581567591,0.991727713173389,0.00532360414300605,0.00507760188810558,,2.4042387191686,0.979162324388138
364_2006,364,2006,Iran 2006,364009023,0.416569981313076,0.967274605238914,0.0030619957474336,0.00290593394492351,,2.94496516854663,0.980525937620643
364_2006,364,2006,Iran 2006,364009004,0.41651659879548,0.9213085921872,0.00323629886379767,0.00267561849683169,,4.00423752281008,1.00025009638864
364_2006,364,2006,Iran 2006,364009006,0.412336206057591,0.964842827981656,0.00701800994256709,0.00635451539952054,,3.38269393600591,0.957825255656124
364_2006,364,2006,Iran 2006,364009005,0.523840422229121,0.995712156795996,0.00555657158446792,0.00468638330141792,,2.45958882547892,0.932205473156168
364_2006,364,2006,Iran 2006,364009018,0.47833795833622,0.984640642094466,0.00398934826183641,0.00417562654249794,,4.88272620373492,0.974246788271979
364_2006,364,2006,Iran 2006,364009029,0.514446237839459,0.987842793562507,0.00686052261788769,0.00672340130255058,,4.729332839384,0.962291299892465
364_2006,364,2006,Iran 2006,364009019,0.445768451330326,0.981423230608863,0.00687020010334812,0.00617017600746208,,2.7107133159951,0.971143047559004
364_2006,364,2006,Iran 2006,364009007,0.468609047624515,0.96302074418581,0.00246533217480165,0.0022581123554293,,3.28728187464097,1.00813668158677
364_2006,364,2006,Iran 2006,364009027,0.496713563414723,0.966257908641077,0.00269753727161316,0.00260754466883021,,6.50620255147228,1.00086604156952
364_2006,364,2006,Iran 2006,364009008,0.416735381501329,0.962445047003798,0.00407582612456429,0.00272637849527407,,3.22882615572137,0.98602933204926
364_2006,364,2006,Iran 2006,364009020,0.444300360839317,0.963086249207845,0.00803335274861651,0.00829417119093996,,3.01357222164303,1.01413277163928
364_2006,364,2006,Iran 2006,364009022,0.383758061752948,0.988286671064347,0.00493747724561043,0.00465815854790558,,3.50074099359166,0.932151242728715
364_2006,364,2006,Iran 2006,364009013,0.369333509800744,0.972142288103351,0.0122672305612952,0.0129268777865708,,3.12456514539696,0.989509926122097
364_2006,364,2006,Iran 2006,364009014,0.360497685158957,0.933375420235925,0.00527981500061513,0.00577851949331353,,3.4707234395533,0.921190006366706
364_2006,364,2006,Iran 2006,364009028,0.392944308852896,0.958960632662389,0.00697514779394092,0.00688719225057143,,3.07500543685035,0.947371206807357
364_2006,364,2006,Iran 2006,364009015,0.376117520371159,0.965264057079471,0.00341613379998218,0.00261749271415452,,1.76985461435108,0.960563087177662
364_2006,364,2006,Iran 2006,364009016,0.36256231225136,0.977768417819241,0.009661959409066,0.0145689989599522,,1.30291277033301,0.899680309703882
364_2006,364,2006,Iran 2006,364009030,0.38525530350263,0.94554985569029,0.00138955462861922,0.00191179325668184,,2.71004818600041,1.00076356321905
364_2006,364,2006,Iran 2006,364009017,0.496925430760467,0.959539660116565,0.00380994273243273,0.00383659558562299,,1.70837785682886,0.995514429485871
364_2006,364,2006,Iran 2006,364010018,0.644355690112009,0.965343044358813,0.0017162990651121,0.00172663018392695,,1.97546895658119,0.97028535301341
364_2006,364,2006,Iran 2006,364010001,0.640299323890945,0.987284035312777,0.0013763785092037,0.000926688919144112,,5.05248078808619,1.0368721278831
364_2006,364,2006,Iran 2006,364010002,0.568953215867183,0.95863245546771,0.00486817142177213,0.00576752784279202,,2.91180700544603,1.10320652699325
364_2006,364,2006,Iran 2006,364010016,0.718373777123704,0.979885075797677,0,0,,1.51512727487495,0.968673965384091
364_2006,364,2006,Iran 2006,364010019,0.64459669946418,0.950721921379251,0.0070580406473788,0.00717536360034496,,3.73313557820751,1.04249671974396
364_2006,364,2006,Iran 2006,364010020,0.657082390894372,1.02650329630095,0.00370213526192855,0.00264233221405308,,4.20886299751665,0.933250583214944
364_2006,364,2006,Iran 2006,364010003,0.511096345172697,0.988615731824471,0.00167540759058462,0.00162031036963766,,5.27269183142574,0.915807140247706
364_2006,364,2006,Iran 2006,364010004,0.598940902538757,0.978372735661203,0.00332256436720897,0.00328615913429808,,5.51096603630385,1.07227645089217
364_2006,364,2006,Iran 2006,364010005,0.661191875432006,0.999660409671018,0.00538580909879974,0.00572705203285498,,3.29435425206784,1.00721266630427
364_2006,364,2006,Iran 2006,364010021,0.596565982552569,0.974035480543014,0.000665730043127729,0.000596881907203756,,5.33570946226062,1.01710069304312
364_2006,364,2006,Iran 2006,364010009,0.61981455751836,0.969265968237801,0.00194905026965776,0.00171585090908745,,3.37861088039816,1.04582869272777
364_2006,364,2006,Iran 2006,364010006,0.710244150743112,1.00850846524164,0.00339853894694337,0.00290305422421638,,4.71680098033654,1.05584883237501
364_2006,364,2006,Iran 2006,364010007,0.614098666527492,0.943851220546117,0.00230602989159866,0.00199864730334602,,3.20801706301331,1.00906700926424
364_2006,364,2006,Iran 2006,364010008,0.609719972595253,0.993350029561083,0.00461350793798386,0.00660762137496006,,6.74062576867271,1.04154744185019
364_2006,364,2006,Iran 2006,364010010,0.565952641920964,0.952642239253675,0.000917826372211095,0.000946167611772872,,2.29757253200467,1.02880275289824
