census_id,country,year,census_label,geolev2,wh_ratio,single_1519,single_2024,single_2529,single_3034,single_3539,single_4044,single_4549,avg_educ,log_popdens,sex_ratio
834_2002,834,2002,Tanzania 2002,834008002,1.11616699383323,0.962318964123319,0.658795818801146,0.356719166777575,0.24444687710495,0.183908655285022,0.157871622370492,0.086341751194169,3.29791415626285,3.68612565062526,0.841988526444126
834_2002,834,2002,Tanzania 2002,834008003,1.04427802580629,0.963377735611995,0.59957415008286,0.241094618271587,0.179108464927703,0.121124371124371,0.0661425696865691,0.0739495862150163,4.54113323053124,3.29175444759576,0.888863621336907
834_2002,834,2002,Tanzania 2002,834008004,1.16146346287275,0.957610757445275,0.617645681564283,0.242727977634396,0.149480389029853,0.131604746696499,0.0826351285850794,0.0563306592256714,3.93248136195675,0.770108261418295,0.864633488190654
834_2002,834,2002,Tanzania 2002,834008005,1.03063779320039,0.974925365081649,0.778586494923644,0.515520427529717,0.31862857480938,0.182820968256137,0.138831177868127,0.105819677658642,4.68029190034352,3.63257365421599,0.895839466067851
834_2002,834,2002,Tanzania 2002,834002006,1.06251117583809,0.982618325015071,0.796781844539178,0.451647561249719,0.202255579061192,0.132976872592776,0.108556908485695,0.0948401832962107,4.10361531224658,3.91979273058693,1.035569252808
834_2002,834,2002,Tanzania 2002,834002007,1.12389883469665,0.98042525318688,0.780436297646944,0.382450728835317,0.187212284069098,0.135891300284445,0.0900058860829682,0.0737137880605353,3.46285109249274,4.03051691574881,0.995199854983909
834_2002,834,2002,Tanzania 2002,834002008,1.09364065598923,0.945920043215174,0.708160362384313,0.396688828544821,0.193070942409084,0.146452310909926,0.0946899128438648,0.0679688486225614,3.42159256103039,2.17019593107844,1.05562983939045
834_2002,834,2002,Tanzania 2002,834020001,1.26651138693695,0.945737662004192,0.558616670733239,0.221240259119533,0.0773231150381919,0.0554021225474116,0.0201933925112289,0.0503362712059679,4.39690175143803,4.93043703639211,0.771237387325502
834_2002,834,2002,Tanzania 2002,834020002,1.23620740715749,0.956704236300039,0.582237094739152,0.249112062149374,0.139655373151706,0.0937134561877495,0.0880563228178023,0.0765638031693078,4.11257659119718,2.74791171255425,0.762743011591302
834_2002,834,2002,Tanzania 2002,834020003,1.20432121465212,0.973884156322128,0.66987690711038,0.321005067314323,0.139519851397233,0.108838028894379,0.0733182758946437,0.0733700251850408,4.53275371781701,4.61184782256313,0.754576517801801
834_2002,834,2002,Tanzania 2002,834020004,1.19461391748384,0.962954184711958,0.66784440688978,0.309376702138903,0.136678570186897,0.0907063427967944,0.0622645797037578,0.0485930826563939,4.61251982968892,4.4078161617506,0.782699986867269
834_2002,834,2002,Tanzania 2002,834020005,1.10740161135425,0.979889823973549,0.760656839362538,0.388575493962023,0.148748039163502,0.111242947971702,0.0423526116186864,0.0399214576240931,6.16146056530736,7.39067516360301,0.81944656803626
834_2002,834,2002,Tanzania 2002,834012001,1.0673841093292,0.939250267498063,0.582987741715867,0.266383575463362,0.159254973033168,0.110906065648162,0.0725890015542891,0.0572910152679834,3.68923906100986,1.91692264022618,1.00853810934589
834_2002,834,2002,Tanzania 2002,834012002,1.18247971578082,0.966841198276991,0.630928886890345,0.278016401691592,0.138832318961561,0.081586353228755,0.0679633603440537,0.0649629214452013,3.90239877800187,3.32862667517141,0.831091017900497
834_2002,834,2002,Tanzania 2002,834012003,1.03679568100839,0.981006394229419,0.678451330542757,0.289332150888613,0.172821592267836,0.114491322719606,0.0835668969904748,0.0889389445408249,4.53886446604915,5.43450768905834,0.806045031708385
834_2002,834,2002,Tanzania 2002,834012004,1.06338686209045,0.972756810968992,0.633698533626854,0.316323898648676,0.160306787193858,0.133493795669435,0.071115568951706,0.104017317119756,3.9563114654798,4.94092783806886,0.81118629581496
834_2002,834,2002,Tanzania 2002,834012005,1.17919603689943,0.975813288121225,0.55109942808426,0.17327506899724,0.0568231441048035,0.0566637021979418,0.0313688212927757,0.0606572135944182,3.87470126935074,4.06061538055193,0.794079637709173
834_2002,834,2002,Tanzania 2002,834012006,1.22607239964029,0.964073169011155,0.533740268277255,0.180103307740249,0.0910958428659438,0.0482992139028682,0.0444570076289297,0.0327764924789435,4.02871213510348,4.06731591596432,0.815633255486371
834_2002,834,2002,Tanzania 2002,834012007,1.10146013949547,0.983257514399483,0.752071084981294,0.354153524280062,0.142365164063513,0.0955082064047931,0.0477505851079199,0.0276422485862165,6.46252543847329,6.93702272927026,0.86500571081147
834_2002,834,2002,Tanzania 2002,834005001,1.02600114510461,0.96956126763024,0.661291481186047,0.367522172695535,0.225935495972136,0.160158086383037,0.137701105091838,0.105055252177104,4.01752603140457,3.54385363795963,0.967069523051199
834_2002,834,2002,Tanzania 2002,834005002,1.04673752145101,0.969190336706432,0.654478051971384,0.368345231429638,0.217052649522696,0.151996569603413,0.124210507770864,0.0821696381910769,3.81227330223709,3.29361219080404,0.898499785664195
834_2002,834,2002,Tanzania 2002,834005003,1.0075337456406,0.968041082913696,0.717457008641091,0.405455762234636,0.229358169560688,0.144062688366486,0.0844418974044258,0.095890559982594,4.62479851772776,3.13766573634071,0.994880108523845
